Human_Readable_Topic,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1. Federated Privacy-Preserving Learning,0.7127441167831421,0.3001822233200073,0.14419791102409363,0.24210931360721588,0.180530846118927,0.24019166827201843,0.19501987099647522,0.2913925051689148,0.15019160509109497,0.2855375409126282,0.3041047751903534,0.16627822816371918,0.2855783700942993,0.3227847218513489,0.24931055307388306,0.15891864895820618,0.6497902870178223,0.26799970865249634,0.1695786565542221,0.7029821872711182
2. Advanced Graph Learning and Node Classification Techniques,0.23607772588729858,0.5717501044273376,0.08892403542995453,0.09437587857246399,0.18465006351470947,0.12059197574853897,0.1375543773174286,0.0627451241016388,0.07748619467020035,0.10670214891433716,0.21244041621685028,0.18741831183433533,0.12890219688415527,0.12052712589502335,0.09411786496639252,0.008422106504440308,0.10976232588291168,0.5368403792381287,0.07969257980585098,0.2707183063030243
3. Multimodal Visual and Textual Embedding Techniques,0.14510640501976013,0.27582788467407227,0.5191264748573303,0.14060434699058533,0.25227075815200806,0.3248462677001953,0.272607684135437,0.25760918855667114,0.375570148229599,0.1176355704665184,0.1968916952610016,0.2003675103187561,0.06674900650978088,0.03809628635644913,0.21526013314723969,0.19803377985954285,0.060814157128334045,0.29474085569381714,0.5054290890693665,0.06688502430915833
4. Advanced Techniques in Robot Learning and Manipulation,0.12753701210021973,0.14541089534759521,0.13982327282428741,0.5182774662971497,0.1814245581626892,0.16668136417865753,0.11284638941287994,0.06361024081707001,0.11189600825309753,0.383873850107193,0.18587125837802887,0.13090384006500244,0.43630915880203247,0.38549113273620605,0.36482104659080505,0.029680021107196808,0.044249191880226135,0.1721036434173584,0.1763235330581665,0.1456446647644043
5. Advanced MRI Imaging and Deep Learning Techniques,0.206711083650589,0.25588908791542053,0.20278054475784302,0.16445758938789368,0.6004644632339478,0.1770631968975067,0.2818095088005066,0.08878593891859055,0.15489239990711212,0.14263996481895447,0.29865238070487976,0.29912200570106506,0.17021161317825317,0.16022086143493652,0.1937466561794281,-0.008350633084774017,0.16759872436523438,0.33390843868255615,0.19757899641990662,0.21682828664779663
6. Robustness and Mechanisms of In-Context Learning in Transformers,0.3492510914802551,0.3162405490875244,0.3549209237098694,0.3908190429210663,0.3110225200653076,0.5566114187240601,0.3668355941772461,0.319676011800766,0.3517666757106781,0.38855183124542236,0.3569144010543823,0.3148167133331299,0.38419032096862793,0.3638037443161011,0.4635586142539978,0.2594669461250305,0.2830139398574829,0.33339449763298035,0.4306375980377197,0.3333052396774292
7. Advanced Audio Representation and Processing Techniques,-0.03571631759405136,-0.021503616124391556,0.11330994963645935,-0.04098249971866608,0.15906484425067902,0.1294640600681305,0.49431368708610535,0.00029493309557437897,0.33713996410369873,-0.045648712664842606,0.17114832997322083,0.10281121730804443,-0.042444318532943726,-0.040068358182907104,0.021117078140378,-0.04348081350326538,-0.03405139222741127,0.0723738968372345,0.08944927155971527,-0.042559072375297546
8. Security Challenges in AI and Large Language Models,0.35580670833587646,0.24919065833091736,0.3463556468486786,0.265964537858963,0.14642448723316193,0.5550228953361511,0.3331233561038971,0.7011358737945557,0.4541240334510803,0.3237825036048889,0.21557065844535828,0.2054017186164856,0.22788207232952118,0.236320361495018,0.29878491163253784,0.4709305763244629,0.5727642774581909,0.21577088534832,0.42993244528770447,0.3016059398651123
9. Advanced Speech Understanding and Summarization with Large Language Models,0.23663514852523804,0.25467681884765625,0.3896295428276062,0.17125515639781952,0.25929051637649536,0.5145577192306519,0.46840769052505493,0.31227725744247437,0.6257818341255188,0.2393503338098526,0.29478883743286133,0.28890261054039,0.1909078061580658,0.19705088436603546,0.2590833008289337,0.34571731090545654,0.17372243106365204,0.2652389705181122,0.43740516901016235,0.1850198209285736
10. Advances in Reinforcement Learning and Reward Systems,0.09792362153530121,0.09409959614276886,0.09584745764732361,0.5004643797874451,0.04691421613097191,0.1808597892522812,0.04140695929527283,0.06108098477125168,0.09087896347045898,0.5318858623504639,0.11961502581834793,0.13592472672462463,0.5800944566726685,0.5598483085632324,0.46835821866989136,0.13887041807174683,0.04685385525226593,0.13921847939491272,0.1467905193567276,0.13710147142410278
11. Sparse Optimization and Matrix Algorithms,0.21582993865013123,0.18116682767868042,0.06630313396453857,0.15027686953544617,0.2337331473827362,0.13069376349449158,0.18641074001789093,0.04852759465575218,0.10610775649547577,0.15162618458271027,0.6776607632637024,0.15546676516532898,0.21581238508224487,0.25053995847702026,0.12760482728481293,-0.017649751156568527,0.13886147737503052,0.22534653544425964,0.09629207849502563,0.243949756026268
12. Advanced Spatiotemporal Weather Forecasting Techniques,0.034890830516815186,0.010165289044380188,0.056521836668252945,0.013279460370540619,0.11467218399047852,0.09184959530830383,0.12090444564819336,-0.020746972411870956,0.09394796192646027,0.008455093950033188,0.14611953496932983,0.501288890838623,0.06535051763057709,0.04837527126073837,0.07989418506622314,-0.05129562318325043,-0.013371409848332405,0.08354789018630981,0.03209995850920677,0.06907903403043747
