Human_Readable_Topic,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1. Federated Privacy-Preserving Learning,0.7027055621147156,1.0395023822784424,1.1517419815063477,1.084504246711731,1.0882189273834229,1.0737088918685913,1.0999435186386108,1.0490847826004028,1.1397581100463867,1.0477404594421387,1.0052475929260254,1.091503620147705,1.0447485446929932,1.026989221572876,1.0792365074157715,1.1184149980545044,0.7625100612640381,1.0543737411499023,1.1352688074111938,0.7136311531066895
2. Advanced Graph Learning and Node Classification Techniques,1.1016870737075806,0.8325508832931519,1.1864227056503296,1.179341435432434,1.0857702493667603,1.1489391326904297,1.1355677843093872,1.1961524486541748,1.184631109237671,1.1624699831008911,1.0607126951217651,1.0791488885879517,1.1451375484466553,1.1603988409042358,1.1789761781692505,1.206998348236084,1.1612385511398315,0.8586397171020508,1.1919026374816895,1.080658197402954
3. Multimodal Visual and Textual Embedding Techniques,1.1623728275299072,1.0560822486877441,0.8811770677566528,1.1505059003829956,1.0447531938552856,1.0171021223068237,1.049928903579712,1.0720854997634888,0.9877868294715881,1.1557828187942505,1.069835901260376,1.071510910987854,1.1826032400131226,1.21056067943573,1.1018935441970825,1.0942180156707764,1.1907984018325806,1.036561131477356,0.8924068212509155,1.2158788442611694
4. Advanced Techniques in Robot Learning and Manipulation,1.1737316846847534,1.1407740116119385,1.154524803161621,0.8802283406257629,1.0876882076263428,1.1205464601516724,1.1505458354949951,1.1956300735473633,1.163609504699707,0.9789412617683411,1.0762553215026855,1.1118699312210083,0.9380837678909302,0.981954038143158,0.9985535144805908,1.194884181022644,1.2006372213363647,1.1159160137176514,1.1309046745300293,1.165492057800293
5. Advanced MRI Imaging and Deep Learning Techniques,1.121636152267456,1.0694648027420044,1.113807201385498,1.135340690612793,0.8009560704231262,1.114051103591919,1.0438382625579834,1.1803278923034668,1.1367958784103394,1.1403417587280273,1.0086321830749512,1.0113649368286133,1.1195430755615234,1.135453701019287,1.1159714460372925,1.2164714336395264,1.1253108978271484,1.009904146194458,1.1170403957366943,1.117999792098999
6. Robustness and Mechanisms of In-Context Learning in Transformers,1.0211691856384277,1.0284241437911987,1.0086475610733032,0.9798131585121155,1.0077614784240723,0.8428938388824463,0.9857816100120544,1.0294334888458252,1.0049234628677368,0.9755475521087646,0.9718570709228516,1.0014735460281372,0.9762847423553467,0.9977596998214722,0.9240182638168335,1.0550953149795532,1.0499472618103027,1.010258436203003,0.9518687129020691,1.0356018543243408
7. Advanced Audio Representation and Processing Techniques,1.2744452953338623,1.240761399269104,1.1712487936019897,1.259983777999878,1.1008912324905396,1.1435283422470093,0.89168381690979,1.2332754135131836,1.0153099298477173,1.2519423961639404,1.084771990776062,1.1277819871902466,1.2456986904144287,1.2562776803970337,1.2230831384658813,1.2360774278640747,1.2460929155349731,1.1765084266662598,1.1858861446380615,1.2826142311096191
8. Security Challenges in AI and Large Language Models,1.0163096189498901,1.073923110961914,1.014857292175293,1.0684012174606323,1.1082855463027954,0.8442102074623108,1.0092002153396606,0.7133350968360901,0.9289942383766174,1.0215338468551636,1.0588666200637817,1.0685266256332397,1.0828001499176025,1.0860286951065063,1.045441746711731,0.9076254963874817,0.8311612010002136,1.088323712348938,0.9524115920066833,1.0586618185043335
9. Advanced Speech Understanding and Summarization with Large Language Models,1.1013050079345703,1.0702729225158691,0.9830822348594666,1.1309818029403687,1.0404025316238403,0.8770772814750671,0.911592960357666,1.0346101522445679,0.785348117351532,1.0785409212112427,1.0110235214233398,1.0177538394927979,1.1064974069595337,1.1118078231811523,1.0726453065872192,0.9975822567939758,1.1214394569396973,1.0561957359313965,0.9466419219970703,1.139466404914856
10. Advances in Reinforcement Learning and Reward Systems,1.1926321983337402,1.1724193096160889,1.1821345090866089,0.8948123455047607,1.1648588180541992,1.111666202545166,1.192794919013977,1.197156548500061,1.1764938831329346,0.8651328682899475,1.1140698194503784,1.1090019941329956,0.8235582709312439,0.8441978693008423,0.9202412366867065,1.130616307258606,1.1990954875946045,1.136252999305725,1.149890661239624,1.1710623502731323
11. Sparse Optimization and Matrix Algorithms,1.115479826927185,1.1181927919387817,1.200326919555664,1.1443806886672974,1.0561561584472656,1.1427764892578125,1.105353593826294,1.2047045230865479,1.1671721935272217,1.1347410678863525,0.7372545599937439,1.0977681875228882,1.090592384338379,1.076541781425476,1.1581816673278809,1.2216918468475342,1.1433035135269165,1.082179069519043,1.1816482543945312,1.099365234375
12. Advanced Spatiotemporal Weather Forecasting Techniques,1.2318974733352661,1.2224195003509521,1.2062894105911255,1.2282921075820923,1.1266459226608276,1.1662955284118652,1.145682454109192,1.2455344200134277,1.174621343612671,1.2209194898605347,1.0990989208221436,0.8754409551620483,1.183432698249817,1.2044196128845215,1.1876986026763916,1.2403967380523682,1.2342503070831299,1.1698756217956543,1.2208256721496582,1.2145036458969116
13. Adaptive Control and Learning in Reinforcement Learning,1.1751198768615723,1.1592029333114624,1.2190351486206055,0.8684473037719727,1.1417802572250366,1.1226472854614258,1.192038893699646,1.2255992889404297,1.1868131160736084,0.8704509139060974,1.1051617860794067,1.0930116176605225,0.7827550768852234,0.8044643402099609,0.9351486563682556,1.1787420511245728,1.2124396562576294,1.1310585737228394,1.1784019470214844,1.1479688882827759
14. Optimality in Reinforcement Learning Policies,1.1075544357299805,1.1322861909866333,1.1886744499206543,0.8595651388168335,1.112355351448059,1.0925347805023193,1.1732443571090698,1.1555763483047485,1.1684767007827759,0.8329786658287048,1.0218995809555054,1.1012816429138184,0.7422728538513184,0.6928397417068481,0.9095147252082825,1.1459308862686157,1.1165623664855957,1.1316982507705688,1.1423258781433105,1.0778456926345825
