Human_Readable_Topic,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1. Federated Learning for Distributed Data Privacy,0.7479981184005737,0.3111202120780945,0.11681785434484482,0.22231148183345795,0.19399181008338928,0.19316858053207397,0.1360357105731964,0.23115995526313782,0.10690221935510635,0.26508629322052,0.2871381640434265,0.2000240534543991,0.2602872848510742,0.290652871131897,0.2160436064004898,0.10121183842420578,0.592965841293335,0.25733280181884766,0.1332053244113922,0.7520710229873657
2. Graph Learning and Node Classification,0.28827714920043945,0.6409901976585388,0.1020851582288742,0.13320893049240112,0.19954919815063477,0.18275010585784912,0.17069080471992493,0.07557380199432373,0.1199067160487175,0.15746164321899414,0.240292489528656,0.2176666557788849,0.17050564289093018,0.16768592596054077,0.1428394317626953,0.048706136643886566,0.15680646896362305,0.6161127090454102,0.11439117044210434,0.3233933746814728
3. Multimodal Image Retrieval and Captioning,0.16840191185474396,0.16027683019638062,0.5475772619247437,0.19419848918914795,0.305254191160202,0.27680307626724243,0.25810086727142334,0.25265055894851685,0.3415643274784088,0.16779248416423798,0.2053561508655548,0.1925916075706482,0.09481386095285416,0.060636937618255615,0.2514299750328064,0.16950374841690063,0.12224918603897095,0.17758558690547943,0.49988752603530884,0.10586221516132355
4. Robotics and Imitation Learning,0.1839924156665802,0.18055127561092377,0.20773856341838837,0.6393412351608276,0.16779887676239014,0.25274670124053955,0.11087727546691895,0.15547314286231995,0.19388578832149506,0.5234624147415161,0.2005157768726349,0.1391286700963974,0.5495885610580444,0.5077023506164551,0.4962095618247986,0.19393764436244965,0.13557347655296326,0.18653471767902374,0.28891628980636597,0.19766053557395935
5. Medical Imaging Segmentation and Analysis,-0.03741742670536041,0.014910858124494553,0.073813296854496,-0.025086065754294395,0.45852750539779663,-0.02347797527909279,0.04196498915553093,-0.017934754490852356,-0.017939455807209015,-0.050417087972164154,0.19119130074977875,0.05985961854457855,-0.02572372741997242,-0.002174871042370796,-0.025218449532985687,-0.09999166429042816,-0.03236876055598259,0.07658959180116653,0.055991239845752716,-0.01567935198545456
6. In-Context Learning with Transformers,0.3849950432777405,0.4122784435749054,0.5217924118041992,0.4504950940608978,0.41749078035354614,0.6186885833740234,0.44994017481803894,0.3110072612762451,0.48088207840919495,0.45074138045310974,0.362920880317688,0.3984810411930084,0.41271376609802246,0.3668369650840759,0.5609569549560547,0.27705568075180054,0.2656663656234741,0.4185231029987335,0.5670116543769836,0.33787399530410767
7. Audio Representation Learning,0.2526800334453583,0.3149358034133911,0.3513711094856262,0.2253372222185135,0.3464641869068146,0.3712586760520935,0.6571980714797974,0.19779527187347412,0.5213737487792969,0.23375444114208221,0.3245391249656677,0.30628854036331177,0.2415100783109665,0.22181656956672668,0.3164193034172058,0.15550929307937622,0.1936492621898651,0.36170732975006104,0.35843801498413086,0.21855434775352478
8. Adversarial Attacks on Large Language Models,0.34441041946411133,0.3193507492542267,0.3816257417201996,0.23794573545455933,0.19588258862495422,0.5568755269050598,0.35376685857772827,0.7064249515533447,0.46117907762527466,0.28745800256729126,0.30441999435424805,0.23569506406784058,0.2256334125995636,0.2540062367916107,0.29627662897109985,0.4648529589176178,0.5167319774627686,0.27107223868370056,0.4705646336078644,0.2842217683792114
9. Speech-to-Text Processing with Large Language Models,0.3011208474636078,0.3031642436981201,0.4676525592803955,0.1894402801990509,0.24521185457706451,0.591996431350708,0.46918603777885437,0.4052138924598694,0.6505502462387085,0.23214221000671387,0.27788975834846497,0.31498920917510986,0.18673984706401825,0.19472385942935944,0.2862757444381714,0.34801048040390015,0.25191813707351685,0.27594348788261414,0.48262739181518555,0.22479012608528137
10. Reinforcement Learning with Logical Specifications and Explainability,0.1871768832206726,0.1457536667585373,0.062081996351480484,0.47330060601234436,0.10257411003112793,0.2124265730381012,0.051045600324869156,0.12695194780826569,0.0958089828491211,0.5574578642845154,0.11261557787656784,0.16559599339962006,0.5744539499282837,0.5749483704566956,0.42557191848754883,0.07609480619430542,0.1816675066947937,0.15954801440238953,0.13740111887454987,0.21566292643547058
11. Optimization Algorithms for Matrix Problems,0.130062535405159,0.1399732232093811,0.05093185231089592,0.11709091067314148,0.19663457572460175,0.08696974813938141,0.14502224326133728,0.041065484285354614,0.07919586449861526,0.13329392671585083,0.6033309698104858,0.10984207689762115,0.20020481944084167,0.24086178839206696,0.09333367645740509,0.00017424672842025757,0.08207637071609497,0.17794209718704224,0.06632085144519806,0.15425394475460052
12. Spatiotemporal Weather Forecasting and Climate Prediction,0.12684977054595947,0.12806382775306702,0.1327930986881256,0.09318254888057709,0.14686675369739532,0.17985107004642487,0.15565679967403412,0.05569129437208176,0.1770724356174469,0.11569627374410629,0.12838706374168396,0.6183646321296692,0.13397260010242462,0.09877939522266388,0.1679910570383072,0.09080391377210617,0.06948427855968475,0.16713297367095947,0.14120933413505554,0.14910893142223358
13. Reinforcement Learning with Adaptive Control and Exploration,0.14754842221736908,0.1215641051530838,0.055445317178964615,0.541807234287262,0.06726471334695816,0.1430126130580902,0.02549939602613449,0.06124382093548775,0.0852104127407074,0.5403950810432434,0.15520745515823364,0.11947174370288849,0.6034024357795715,0.5895352363586426,0.4431309998035431,0.09785005450248718,0.06242546811699867,0.12242377549409866,0.12034240365028381,0.17727726697921753
14. Reinforcement Learning with Policy Gradient Methods,0.2699454426765442,0.20681005716323853,0.1519603133201599,0.5671106576919556,0.20380070805549622,0.2589671015739441,0.14047983288764954,0.14277508854866028,0.1946067214012146,0.5964395403862,0.2575065791606903,0.2297082543373108,0.683219313621521,0.7227739095687866,0.5285646915435791,0.14240646362304688,0.18877330422401428,0.23312684893608093,0.21142663061618805,0.2947477102279663
15. Reinforcement Learning Methods,0.22041727602481842,0.1889294683933258,0.10021679103374481,0.5222667455673218,0.1636965572834015,0.23773476481437683,0.0962662547826767,0.10044944286346436,0.13537438213825226,0.5683799982070923,0.20555391907691956,0.24559204280376434,0.6304113864898682,0.6225931644439697,0.49753716588020325,0.13855096697807312,0.13832634687423706,0.19811487197875977,0.1628378927707672,0.25895118713378906
16. Language Models and Social Biases,0.13305136561393738,0.16070467233657837,0.1949087530374527,0.09367826581001282,0.0033675841987133026,0.4034777879714966,0.14247217774391174,0.28803467750549316,0.31469857692718506,0.14907503128051758,0.03884202241897583,0.07162146270275116,0.0818990021944046,0.08626220375299454,0.14687737822532654,0.6977009177207947,0.16789090633392334,0.10268035531044006,0.3301715552806854,0.07272099703550339
17. Differentially Private Deep Learning and Synthetic Data Generation,0.4794325828552246,0.26026350259780884,0.20754462480545044,0.2630428075790405,0.2720576524734497,0.27818921208381653,0.2936823070049286,0.38515201210975647,0.2394968867301941,0.287508487701416,0.2299603521823883,0.23950687050819397,0.276408314704895,0.28662750124931335,0.2977592349052429,0.1665874868631363,0.6689308881759644,0.3037654459476471,0.22606593370437622,0.4598998725414276
18. Graph Neural Networks and Architectures,0.2469562292098999,0.6056914329528809,0.19735729694366455,0.21146973967552185,0.25331366062164307,0.3070226311683655,0.27376997470855713,0.17285194993019104,0.23887354135513306,0.22929564118385315,0.21938323974609375,0.287168025970459,0.22988152503967285,0.1954980194568634,0.2342437505722046,0.0720154196023941,0.21723634004592896,0.7011407613754272,0.22383716702461243,0.29403722286224365
19. Vision-Language Models (VLMs),0.2805086374282837,0.2850628197193146,0.5908474922180176,0.33620762825012207,0.3031322956085205,0.5497728586196899,0.3944931626319885,0.4364383816719055,0.522817850112915,0.34425199031829834,0.2006496638059616,0.2947370707988739,0.2686218023300171,0.21502740681171417,0.43672552704811096,0.4316018223762512,0.2259143888950348,0.28276658058166504,0.6743482351303101,0.1849747598171234
20. Federated Learning for Distributed Systems,0.7106326818466187,0.3315437436103821,0.14900636672973633,0.33943504095077515,0.19106963276863098,0.25189316272735596,0.16474491357803345,0.17281045019626617,0.16637372970581055,0.39158356189727783,0.2886699140071869,0.23392409086227417,0.39122873544692993,0.38770991563796997,0.32442301511764526,0.13187439739704132,0.35628587007522583,0.29047518968582153,0.19609737396240234,0.7514187097549438
