Human_Readable_Topic,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1. Federated Learning for Distributed Data Privacy,0.6637396216392517,1.0319695472717285,1.169049859046936,1.0976890325546265,1.080196499824524,1.1038990020751953,1.1364940404891968,1.0897541046142578,1.1666839122772217,1.0614888668060303,1.0157424211502075,1.071714162826538,1.0615962743759155,1.049317479133606,1.1013774871826172,1.153186321258545,0.8137167096138,1.0613958835601807,1.1585198640823364,0.6591531038284302
2. Graph Learning and Node Classification,1.0653059482574463,0.7709486484527588,1.1782575845718384,1.1551672220230103,1.0768669843673706,1.1104768514633179,1.1151646375656128,1.1883829832077026,1.158660888671875,1.1310893297195435,1.0441714525222778,1.0612212419509888,1.119358777999878,1.1307008266448975,1.1485968828201294,1.1839367151260376,1.1321015357971191,0.7917395234107971,1.1703650951385498,1.0428671836853027
3. Multimodal Image Retrieval and Captioning,1.1471385955810547,1.131440281867981,0.857166588306427,1.1161437034606934,1.0114531517028809,1.0496023893356323,1.0594598054885864,1.0754200220108032,1.0121794939041138,1.1245954036712646,1.064879059791565,1.0761040449142456,1.1658350229263306,1.1970528364181519,1.077810525894165,1.1119189262390137,1.1535766124725342,1.1124897003173828,0.8969477415084839,1.1912094354629517
4. Robotics and Imitation Learning,1.1368290185928345,1.1185853481292725,1.1105371713638306,0.7738626003265381,1.0957528352737427,1.0655035972595215,1.151731014251709,1.1388007402420044,1.1119197607040405,0.8720084428787231,1.067716360092163,1.1071679592132568,0.8491482734680176,0.8876409530639648,0.8980104923248291,1.0967769622802734,1.1453441381454468,1.1068733930587769,1.0553932189941406,1.1309843063354492
5. Medical Imaging Segmentation and Analysis,1.275452971458435,1.2196471691131592,1.1957286596298218,1.2507826089859009,0.9082725048065186,1.2334840297698975,1.192470669746399,1.2439029216766357,1.2410671710968018,1.254639744758606,1.0731611251831055,1.151685357093811,1.23624587059021,1.2343260049819946,1.2502719163894653,1.266979455947876,1.2451335191726685,1.1740103960037231,1.2063930034637451,1.2665497064590454
6. In-Context Learning with Transformers,0.9943850040435791,0.9595032334327698,0.8789550065994263,0.9345095157623291,0.9370120763778687,0.7897346615791321,0.925524115562439,1.0354961156845093,0.9080987572669983,0.9292535781860352,0.9679862260818481,0.9470033645629883,0.9555673003196716,0.9955641031265259,0.8440697193145752,1.0436240434646606,1.0616164207458496,0.9497655630111694,0.8402937650680542,1.0322357416152954
7. Audio Representation Learning,1.0902475118637085,1.02932870388031,1.011225700378418,1.0956841707229614,0.9847745299339294,0.9846869111061096,0.754564106464386,1.1116418838500977,0.8755309581756592,1.082213044166565,0.9924605488777161,1.006860375404358,1.0739338397979736,1.0956205129623413,1.0331288576126099,1.1204992532730103,1.108748197555542,0.9905492663383484,1.0059411525726318,1.1168230772018433
8. Adversarial Attacks on Large Language Models,1.024742603302002,1.0262646675109863,0.9890362620353699,1.0872904062271118,1.0790648460388184,0.8426747918128967,0.9949253797531128,0.7079610228538513,0.9235308170318604,1.0464402437210083,1.005051612854004,1.0503904819488525,1.0842561721801758,1.0742164850234985,1.0471813678741455,0.9121967554092407,0.8777341246604919,1.0523425340652466,0.920603334903717,1.071097493171692
9. Speech-to-Text Processing with Large Language Models,1.0561622381210327,1.0374541282653809,0.923031747341156,1.1192371845245361,1.049109935760498,0.8130183219909668,0.9110012054443359,0.9675760865211487,0.7623904943466187,1.0832687616348267,1.0214176177978516,1.0013642311096191,1.1091370582580566,1.1133166551589966,1.054088830947876,0.9960078597068787,1.0707743167877197,1.0491139888763428,0.9109464287757874,1.112561821937561
10. Reinforcement Learning with Logical Specifications and Explainability,1.1347116231918335,1.1405595541000366,1.2029036283493042,0.9166054129600525,1.1335632801055908,1.091635823249817,1.1871824264526367,1.1567437648773193,1.173484206199646,0.8439168334007263,1.1179898977279663,1.0918999910354614,0.8283494114875793,0.8311939835548401,0.9533836245536804,1.1679972410202026,1.1163965463638306,1.123724102973938,1.155861496925354,1.1187934875488281
