,Final_Label,Highest_Topic_Label,Merged_Label,Original_Label_Pair,Representative_Document
0,AI and Data-Driven Approaches for Urban and Disaster Management,AI and Data-Driven Approaches for Urban and Disaster Management,AI and Data-Driven Approaches for Urban and Disaster Management,"AI and Data-Driven Approaches for Urban and Disaster Management , AI and Data-Driven Approaches for Urban and Disaster Management",Urban Planning and Analysis with AI and Data-Driven Approaches
1,Advanced Statistical and Machine Learning Methods,Advanced Statistical and Machine Learning Methods,Advanced Statistical and Machine Learning Methods,"Advanced Statistical and Machine Learning Methods , Advanced Statistical and Machine Learning Methods",Robust Regression Methods
2,"Advanced Technologies for Simulation, Sensing, and Fabrication","Advanced Technologies for Simulation, Sensing, and Fabrication","Advanced Technologies for Simulation, Sensing, and Fabrication","Advanced Technologies for Simulation, Sensing, and Fabrication , Advanced Technologies for Simulation, Sensing, and Fabrication",Additive Manufacturing and Laser-Based Fabrication Techniques
3,Advances in Sequence Modeling and Learning,Advances in Sequence Modeling and Learning,Advances in Sequence Modeling and Learning,"Advances in Sequence Modeling and Learning , Advances in Sequence Modeling and Learning",Advances in Sequence Modeling: Transformers and Alternatives
4,Adversarial Attacks and Vulnerabilities in AI and Machine Learning,Adversarial Attacks and Vulnerabilities in AI and Machine Learning,Adversarial Attacks and Vulnerabilities in AI and Machine Learning,"Adversarial Attacks and Vulnerabilities in AI and Machine Learning , Adversarial Attacks and Vulnerabilities in AI and Machine Learning",Backdoor Attacks on AI Models
5,Aerial Robotics and Agricultural Computer Vision,Aerial Robotics and Agricultural Computer Vision,Aerial Robotics and Agricultural Computer Vision,"Aerial Robotics and Agricultural Computer Vision , Aerial Robotics and Agricultural Computer Vision",Computer Vision Applications in Agriculture and Aerial Imagery
6,Artificial Intelligence Applications and Implications,Artificial Intelligence Applications and Implications,Artificial Intelligence Applications and Implications,"Artificial Intelligence Applications and Implications , Artificial Intelligence Applications and Implications",Artificial Intelligence Ethics and Governance
7,Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization,Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization,Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization,"Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization , Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization",Hardware Design and Acceleration for AI and ML Applications
8,Artificial Intelligence and Machine Learning Interpretability and Explainability,Explainable Artificial Intelligence,Artificial Intelligence and Machine Learning Interpretability and Explainability,"Explainable Artificial Intelligence , Explainable Artificial Intelligence",Interpretable Deep Learning Models
9,Artificial Intelligence and Reasoning Systems,"Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems",Artificial Intelligence and Reasoning Systems,"Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems","Knowledge Representation and Organization Methodologies , Artificial Intelligence and Cognitive Systems"
10,Artificial Intelligence for Creative Content Generation,Artificial Intelligence for Creative Content Generation,Artificial Intelligence for Creative Content Generation,"Artificial Intelligence for Creative Content Generation , Artificial Intelligence for Creative Content Generation",Text-Guided Visual Content Generation and Editing
11,Artificial Intelligence in Creative Industries,Artificial Intelligence in Creative Industries,Artificial Intelligence in Creative Industries,"Artificial Intelligence in Creative Industries , Artificial Intelligence in Creative Industries",Artificial Intelligence in Creative Industries
12,Artificial Intelligence in Data Generation and Chemical Synthesis,Artificial Intelligence in Data Generation and Chemical Synthesis,Artificial Intelligence in Data Generation and Chemical Synthesis,"Artificial Intelligence in Data Generation and Chemical Synthesis , Artificial Intelligence in Data Generation and Chemical Synthesis",Synthetic Data Generation and Applications
