Coordinates,Label
"1.568917989730835,6.928176403045654",Intelligent Systems
"1.5585260391235352,6.981112480163574",Intelligent Systems
"1.629567265510559,6.9369001388549805",Intelligent Systems
"1.5958478450775146,6.942763328552246",Intelligent Systems
"6.078814506530762,7.258939743041992",Intelligent Systems
"8.173262596130371,12.228898048400879",Intelligent Systems
"4.815184116363525,6.515702247619629",Intelligent Systems
"6.533817768096924,7.228205680847168",Intelligent Systems
"-0.11395718157291412,8.772358894348145",Intelligent Systems
"0.8543738126754761,8.753152847290039",Intelligent Systems
"4.035274505615234,5.272147178649902",Intelligent Systems
"6.437005043029785,5.8037872314453125",Intelligent Systems
"6.424596786499023,5.834502220153809",Intelligent Systems
"4.085899829864502,6.89918327331543",Intelligent Systems
"1.114661455154419,7.66751766204834",Intelligent Systems
"6.936644077301025,5.856948375701904",Intelligent Systems
"6.825449466705322,6.837381839752197",Intelligent Systems
"3.9381103515625,7.708686351776123",Intelligent Systems
"8.895818710327148,12.261845588684082",Intelligent Systems
"1.1044812202453613,6.928520679473877",Intelligent Systems
"6.792766571044922,13.059800148010254",Intelligent Systems
"5.929489612579346,7.608172416687012",Intelligent Systems
"7.998235702514648,10.239204406738281",Intelligent Systems
"7.416494846343994,13.42994213104248",Intelligent Systems
"2.4649813175201416,4.690967082977295",Intelligent Systems
"7.68386173248291,8.269145965576172",Intelligent Systems
"8.426321029663086,12.04110336303711",Intelligent Systems
"8.726460456848145,7.969985485076904",Intelligent Systems
"0.09167228639125824,6.092404842376709",Intelligent Systems
"-2.0990359783172607,10.783414840698242",Intelligent Systems
"6.074789047241211,5.065295696258545",Intelligent Systems
"3.6924219131469727,10.67643928527832",Intelligent Systems
"6.292304039001465,5.543975353240967",Intelligent Systems
"-2.36271333694458,7.769641399383545",Intelligent Systems
"5.096378803253174,6.61747407913208",Intelligent Systems
"5.793202877044678,6.674383163452148",Intelligent Systems
"-0.643017053604126,4.948537826538086",Intelligent Systems
"-0.8209000825881958,5.036261081695557",Intelligent Systems
"6.892595291137695,6.494543075561523",Intelligent Systems
"3.8385469913482666,8.350956916809082",Intelligent Systems
"0.9706146121025085,7.053669452667236",Intelligent Systems
"-3.0373518466949463,7.6952290534973145",Intelligent Systems
"0.5264182090759277,8.437200546264648",Intelligent Systems
"7.655381679534912,11.143665313720703",Intelligent Systems
"6.693779468536377,7.951290130615234",Intelligent Systems
"6.753796100616455,6.949316024780273",Intelligent Systems
"5.758156776428223,7.306209564208984",Intelligent Systems
"5.687485694885254,6.878235816955566",Intelligent Systems
"-1.8682008981704712,6.186281681060791",Intelligent Systems
"-3.0549910068511963,7.749423503875732",Intelligent Systems
"6.517755508422852,7.311699867248535",Intelligent Systems
"7.426103115081787,8.2461576461792",Intelligent Systems
"7.120597839355469,9.088942527770996",Intelligent Systems
"4.619577884674072,7.2984490394592285",Intelligent Systems
"3.313563108444214,10.999394416809082",Intelligent Systems
"-2.8204843997955322,8.289883613586426",Intelligent Systems
"6.8401618003845215,7.03054141998291",Intelligent Systems
"-0.081785187125206,5.925778388977051",Intelligent Systems
"-2.760150671005249,7.638361930847168",Intelligent Systems
"8.716155052185059,11.595206260681152",Intelligent Systems
"-2.594971179962158,7.807234287261963",Intelligent Systems
"-2.804405927658081,7.525265693664551",Intelligent Systems
"-2.747168779373169,7.798439979553223",Intelligent Systems
"-2.690652847290039,8.440084457397461",Intelligent Systems
"8.467072486877441,11.71121883392334",Intelligent Systems
"4.761684894561768,7.097229957580566",Intelligent Systems
"2.4092774391174316,7.376046180725098",Intelligent Systems
"6.400575637817383,5.132779598236084",Intelligent Systems
"5.618032932281494,6.43726921081543",Intelligent Systems
"6.265884876251221,7.6199750900268555",Intelligent Systems
"4.036321640014648,12.624974250793457",Intelligent Systems
"8.736339569091797,7.99317741394043",Intelligent Systems
"8.87794017791748,12.317127227783203",Intelligent Systems
"6.026257038116455,6.7221832275390625",Intelligent Systems
"4.3252482414245605,8.982518196105957",Intelligent Systems
"4.372642517089844,11.157340049743652",Intelligent Systems
"-0.9736161828041077,4.950559616088867",Intelligent Systems
"1.0492929220199585,4.838973045349121",Intelligent Systems
"3.8203577995300293,10.757556915283203",Intelligent Systems
"6.002254486083984,6.749269008636475",Intelligent Systems
"5.718565464019775,7.624125003814697",Intelligent Systems
"6.650305271148682,6.3484930992126465",Intelligent Systems
"6.615295886993408,6.204922676086426",Intelligent Systems
"6.586886405944824,6.173763275146484",Intelligent Systems
"-2.208678960800171,11.882223129272461",Intelligent Systems
"1.5074903964996338,7.875960826873779",Intelligent Systems
"6.698981761932373,8.13815689086914",Intelligent Systems
"-0.8640437126159668,7.764533996582031",Intelligent Systems
"2.202547073364258,8.333113670349121",Intelligent Systems
"3.6427509784698486,10.048871994018555",Intelligent Systems
"3.905431032180786,7.580501556396484",Intelligent Systems
"5.45324182510376,6.833805561065674",Intelligent Systems
"5.878137588500977,6.616089820861816",Intelligent Systems
"4.7157464027404785,8.230191230773926",Intelligent Systems
"6.459600448608398,7.043752670288086",Intelligent Systems
"1.731742024421692,11.705101013183594",Intelligent Systems
"3.2883009910583496,9.042085647583008",Intelligent Systems
"7.7144365310668945,9.892562866210938",Intelligent Systems
